Question;A1;A2;A3;A4
Que feriez-vous si un ami  est dans le besoin ?;Je lui offre mon aide immédiatement.C;Je l'évite pour ne pas avoir à l'aider.A;Je n'aggrave pas sa situation.G;Je réflechis au meilleur moyen de l'aider, quitte à perdre du temps.I
Qu'appréciez-vous chez les gens ?;Ils sont prêts à m'aider.C;Je peux me servir d'eux.A;La relation amicale propre à une coopération quotidienne entre eux et moi qui nous permet d'aller de l'avant.G;Apprendre d'eux.I
En fonction de quoi choisissez-vous vos amis ?;Le physique.C;La bonté.G;L'intelligence.I;L'efficacité.A
Comment faites-vous vos devoirs ?;Je ne les fais pas.C;Le plus tôt possible.I;Pour préparer l'avenir.A;Je partage les réponses.G
